"filename", "language", "TypeScript", "YAML", "JSON", "JavaScript", "JSON with Comments", "HTML", "Markdown", "Vue", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\31647\Desktop\WEB\Vue\blue-navigation-management\.stylelintrc.cjs", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\31647\Desktop\WEB\Vue\blue-navigation-management\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 8, 19
"c:\Users\31647\Desktop\WEB\Vue\blue-navigation-management\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\31647\Desktop\WEB\Vue\blue-navigation-management\package-lock.json", "JSON", 0, 0, 7118, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7119
"c:\Users\31647\Desktop\WEB\Vue\blue-navigation-management\package.json", "JSON", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 1, 83
"c:\Users\31647\Desktop\WEB\Vue\blue-navigation-management\pnpm-lock.yaml", "YAML", 0, 4112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 628, 4740
"c:\Users\31647\Desktop\WEB\Vue\blue-navigation-management\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\31647\Desktop\WEB\Vue\blue-navigation-management\server\parse.ts", "TypeScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 81
"c:\Users\31647\Desktop\WEB\Vue\blue-navigation-management\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 1, 4, 40
"c:\Users\31647\Desktop\WEB\Vue\blue-navigation-management\src\api\bookmark\bookmarkApi.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\31647\Desktop\WEB\Vue\blue-navigation-management\src\api\user\index.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 13
"c:\Users\31647\Desktop\WEB\Vue\blue-navigation-management\src\api\website\index.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 22
"c:\Users\31647\Desktop\WEB\Vue\blue-navigation-management\src\assets\styles\handle.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 4, 9, 41
"c:\Users\31647\Desktop\WEB\Vue\blue-navigation-management\src\assets\styles\style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 30, 28, 127
"c:\Users\31647\Desktop\WEB\Vue\blue-navigation-management\src\assets\styles\theme.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
"c:\Users\31647\Desktop\WEB\Vue\blue-navigation-management\src\assets\styles\variable.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 19, 12, 93
